Name,Title,Name
For Those About To Rock (We Salute You),For Those About To Rock We Salute You,Rock
Balls to the Wall,Balls to the Wall,Rock
Fast As a Shark,Restless and Wild,Rock
Restless and Wild,Restless and Wild,Rock
Princess of the Dawn,Restless and Wild,Rock
Put The Finger On You,For Those About To Rock We Salute You,Rock
Let's Get It Up,For Those About To Rock We Salute You,Rock
Inject The Venom,For Those About To Rock We Salute You,Rock
Snowballed,For Those About To Rock We Salute You,Rock
Evil Walks,For Those About To Rock We Salute You,Rock
C.O.D.,For Those About To Rock We Salute You,Rock
Breaking The Rules,For Those About To Rock We Salute You,Rock
Night Of The Long Knives,For Those About To Rock We Salute You,Rock
Spellbound,For Those About To Rock We Salute You,Rock
Go Down,Let There Be Rock,Rock
Dog Eat Dog,Let There Be Rock,Rock
Let There Be Rock,Let There Be Rock,Rock
Bad Boy Boogie,Let There Be Rock,Rock
Problem Child,Let There Be Rock,Rock
Overdose,Let There Be Rock,Rock
Hell Ain't A Bad Place To Be,Let There Be Rock,Rock
Whole Lotta Rosie,Let There Be Rock,Rock
Walk On Water,Big Ones,Rock
Love In An Elevator,Big Ones,Rock
Rag Doll,Big Ones,Rock
What It Takes,Big Ones,Rock
Dude (Looks Like A Lady),Big Ones,Rock
Janie's Got A Gun,Big Ones,Rock
Cryin',Big Ones,Rock
Amazing,Big Ones,Rock
Blind Man,Big Ones,Rock
Deuces Are Wild,Big Ones,Rock
The Other Side,Big Ones,Rock
Crazy,Big Ones,Rock
Eat The Rich,Big Ones,Rock
Angel,Big Ones,Rock
Livin' On The Edge,Big Ones,Rock
All I Really Want,Jagged Little Pill,Rock
You Oughta Know,Jagged Little Pill,Rock
Perfect,Jagged Little Pill,Rock
Hand In My Pocket,Jagged Little Pill,Rock
Right Through You,Jagged Little Pill,Rock
Forgiven,Jagged Little Pill,Rock
You Learn,Jagged Little Pill,Rock
Head Over Feet,Jagged Little Pill,Rock
Mary Jane,Jagged Little Pill,Rock
Ironic,Jagged Little Pill,Rock
Not The Doctor,Jagged Little Pill,Rock
Wake Up,Jagged Little Pill,Rock
You Oughta Know (Alternate),Jagged Little Pill,Rock
We Die Young,Facelift,Rock
Man In The Box,Facelift,Rock
Sea Of Sorrow,Facelift,Rock
Bleed The Freak,Facelift,Rock
I Can't Remember,Facelift,Rock
It Ain't Like That,Facelift,Rock
Sunshine,Facelift,Rock
Put You Down,Facelift,Rock
Confusion,Facelift,Rock
I Know Somethin (Bout You),Facelift,Rock
Real Thing,Facelift,Rock
Desafinado,Warner 25 Anos,Jazz
Garota De Ipanema,Warner 25 Anos,Jazz
Samba De Uma Nota Só (One Note Samba),Warner 25 Anos,Jazz
Por Causa De Você,Warner 25 Anos,Jazz
Ligia,Warner 25 Anos,Jazz
Fotografia,Warner 25 Anos,Jazz
Dindi (Dindi),Warner 25 Anos,Jazz
Se Todos Fossem Iguais A Você (Instrumental),Warner 25 Anos,Jazz
Falando De Amor,Warner 25 Anos,Jazz
Angela,Warner 25 Anos,Jazz
Corcovado (Quiet Nights Of Quiet Stars),Warner 25 Anos,Jazz
Outra Vez,Warner 25 Anos,Jazz
O Boto (Bôto),Warner 25 Anos,Jazz
Enter Sandman,Plays Metallica By Four Cellos,Metal
Master Of Puppets,Plays Metallica By Four Cellos,Metal
Harvester Of Sorrow,Plays Metallica By Four Cellos,Metal
The Unforgiven,Plays Metallica By Four Cellos,Metal
Sad But True,Plays Metallica By Four Cellos,Metal
Creeping Death,Plays Metallica By Four Cellos,Metal
Wherever I May Roam,Plays Metallica By Four Cellos,Metal
Welcome Home (Sanitarium),Plays Metallica By Four Cellos,Metal
Cochise,Audioslave,Rock
Show Me How to Live,Audioslave,Rock
Gasoline,Audioslave,Rock
What You Are,Audioslave,Rock
Like a Stone,Audioslave,Rock
Set It Off,Audioslave,Rock
Shadow on the Sun,Audioslave,Rock
I am the Highway,Audioslave,Rock
Exploder,Audioslave,Rock
Hypnotize,Audioslave,Rock
Bring'em Back Alive,Audioslave,Rock
Light My Way,Audioslave,Rock
Getaway Car,Audioslave,Rock
The Last Remaining Light,Audioslave,Rock
Your Time Has Come,Out Of Exile,Alternative & Punk
Out Of Exile,Out Of Exile,Alternative & Punk
Be Yourself,Out Of Exile,Alternative & Punk
Doesn't Remind Me,Out Of Exile,Alternative & Punk
Drown Me Slowly,Out Of Exile,Alternative & Punk
Heaven's Dead,Out Of Exile,Alternative & Punk
The Worm,Out Of Exile,Alternative & Punk
Man Or Animal,Out Of Exile,Alternative & Punk
Yesterday To Tomorrow,Out Of Exile,Alternative & Punk
Dandelion,Out Of Exile,Alternative & Punk
#1 Zero,Out Of Exile,Alternative & Punk
The Curse,Out Of Exile,Alternative & Punk
Money,BackBeat Soundtrack,Rock And Roll
Long Tall Sally,BackBeat Soundtrack,Rock And Roll
Bad Boy,BackBeat Soundtrack,Rock And Roll
Twist And Shout,BackBeat Soundtrack,Rock And Roll
Please Mr. Postman,BackBeat Soundtrack,Rock And Roll
C'Mon Everybody,BackBeat Soundtrack,Rock And Roll
Rock 'N' Roll Music,BackBeat Soundtrack,Rock And Roll
Slow Down,BackBeat Soundtrack,Rock And Roll
Roadrunner,BackBeat Soundtrack,Rock And Roll
Carol,BackBeat Soundtrack,Rock And Roll
Good Golly Miss Molly,BackBeat Soundtrack,Rock And Roll
20 Flight Rock,BackBeat Soundtrack,Rock And Roll
Quadrant,The Best Of Billy Cobham,Jazz
Snoopy's search-Red baron,The Best Of Billy Cobham,Jazz
"Spanish moss-""A sound portrait""-Spanish moss",The Best Of Billy Cobham,Jazz
Moon germs,The Best Of Billy Cobham,Jazz
Stratus,The Best Of Billy Cobham,Jazz
The pleasant pheasant,The Best Of Billy Cobham,Jazz
Solo-Panhandler,The Best Of Billy Cobham,Jazz
Do what cha wanna,The Best Of Billy Cobham,Jazz
Intro Low Down,Alcohol Fueled Brewtality Live! [Disc 1],Metal
13 Years Of Grief,Alcohol Fueled Brewtality Live! [Disc 1],Metal
Stronger Than Death,Alcohol Fueled Brewtality Live! [Disc 1],Metal
All For You,Alcohol Fueled Brewtality Live! [Disc 1],Metal
Super Terrorizer,Alcohol Fueled Brewtality Live! [Disc 1],Metal
Phoney Smile Fake Hellos,Alcohol Fueled Brewtality Live! [Disc 1],Metal
Lost My Better Half,Alcohol Fueled Brewtality Live! [Disc 1],Metal
Bored To Tears,Alcohol Fueled Brewtality Live! [Disc 1],Metal
A.N.D.R.O.T.A.Z.,Alcohol Fueled Brewtality Live! [Disc 1],Metal
Born To Booze,Alcohol Fueled Brewtality Live! [Disc 1],Metal
World Of Trouble,Alcohol Fueled Brewtality Live! [Disc 1],Metal
No More Tears,Alcohol Fueled Brewtality Live! [Disc 1],Metal
The Begining... At Last,Alcohol Fueled Brewtality Live! [Disc 1],Metal
